,index,1. open,2. high,3. low,4. close
0,2021-10-01,102.2150,104.54,101.8800,104.33
1,2021-09-30,103.4200,103.45,101.4500,101.45
2,2021-09-29,103.2100,104.24,102.3400,103.33
3,2021-09-28,103.9100,104.89,102.8800,103.36
4,2021-09-27,102.5900,103.78,102.5900,102.97
5,2021-09-24,99.6500,100.97,99.6500,100.6
6,2021-09-23,98.2400,100.2662,97.7500,100.06
7,2021-09-22,96.2400,98.78,96.2400,97.64
8,2021-09-21,95.5700,95.89,94.0300,94.85
9,2021-09-20,94.6400,95.25,93.3100,94.78
10,2021-09-17,97.1100,98.38,96.3700,96.76
11,2021-09-16,98.3200,98.59,96.9100,97.32
12,2021-09-15,96.9900,98.53,96.9900,98.24
13,2021-09-14,98.3800,98.74,95.9800,96.2
14,2021-09-13,97.2100,98.7099,97.0600,97.97
15,2021-09-10,97.6000,97.7,95.8900,96.07
16,2021-09-09,95.8900,97.62,95.3500,96.0
17,2021-09-08,97.5000,98.47,96.3500,96.39
18,2021-09-07,97.0200,97.975,96.7400,97.06
19,2021-09-03,97.4000,98.43,97.3800,97.49
20,2021-09-02,96.6400,98.385,96.5500,97.71
21,2021-09-01,96.8600,97.07,95.4700,95.71
22,2021-08-31,98.1400,98.41,96.6400,96.77
23,2021-08-30,99.0900,99.308,97.9700,98.39
24,2021-08-27,98.1400,99.46,98.0500,98.64
25,2021-08-26,98.1100,98.73,97.2000,97.22
26,2021-08-25,97.2200,98.72,96.7200,98.51
27,2021-08-24,97.5000,98.614,97.3850,97.84
28,2021-08-23,96.0900,97.0,96.0600,96.73
29,2021-08-20,93.5200,94.875,93.2100,94.3
30,2021-08-19,94.8100,95.31,92.8600,94.29
31,2021-08-18,98.6900,99.42,96.5500,96.7
32,2021-08-17,100.2000,101.68,99.6300,100.73
33,2021-08-16,100.8300,101.2,99.9100,100.92
34,2021-08-13,102.2300,102.54,101.6400,101.96
35,2021-08-12,102.8600,103.25,101.7800,102.64
36,2021-08-11,102.0400,102.97,101.6000,102.85
37,2021-08-10,100.7400,102.32,100.5800,102.08
38,2021-08-09,100.9100,101.38,99.9300,100.25
39,2021-08-06,102.0200,102.58,101.6000,101.95
40,2021-08-05,100.9400,102.43,100.6700,101.23
41,2021-08-04,100.4400,101.9,100.1000,100.3
42,2021-08-03,101.5900,102.91,100.6700,102.6
43,2021-08-02,102.0800,103.98,101.5600,101.63
44,2021-07-30,103.0600,104.05,100.7650,101.81
45,2021-07-29,102.3800,102.88,101.9400,102.57
46,2021-07-28,100.9000,101.81,100.2800,101.18
47,2021-07-27,100.0500,100.72,98.9400,100.61
48,2021-07-26,99.4600,101.26,99.4400,100.95
49,2021-07-23,98.8000,99.12,97.9400,98.86
50,2021-07-22,99.4000,99.41,97.8900,98.82
51,2021-07-21,97.9800,100.4698,97.7000,99.82
52,2021-07-20,95.8900,98.04,95.0500,96.53
53,2021-07-19,95.8200,96.95,94.5200,95.96
54,2021-07-16,101.6300,101.69,98.3300,98.62
55,2021-07-15,101.0500,102.25,100.8500,101.3
56,2021-07-14,104.4800,105.32,101.7200,101.97
57,2021-07-13,104.0000,104.58,103.2200,103.93
58,2021-07-12,103.5600,105.02,103.2350,104.28
59,2021-07-09,103.4600,104.23,102.3600,104.07
60,2021-07-08,101.5000,103.09,101.2200,102.6
61,2021-07-07,103.9600,104.9,102.1200,102.93
62,2021-07-06,105.9700,105.97,103.3900,103.99
63,2021-07-02,105.7000,106.4,105.0400,106.07
64,2021-07-01,106.9500,107.1,105.7400,106.21
65,2021-06-30,103.8400,104.88,103.7200,104.74
66,2021-06-29,104.5900,104.97,103.6100,103.76
67,2021-06-28,106.9500,107.0,103.6600,103.99
68,2021-06-25,107.5900,108.06,106.7800,107.3
69,2021-06-24,107.1400,107.7766,106.3600,107.14
70,2021-06-23,107.3600,108.13,106.2300,106.27
71,2021-06-22,105.3300,106.96,104.3100,106.4
72,2021-06-21,104.1000,106.435,103.9300,106.05
73,2021-06-18,105.2500,106.27,102.9100,103.03
74,2021-06-17,109.2400,109.9836,105.6225,107.07
75,2021-06-16,110.0300,110.51,108.9000,109.67
76,2021-06-15,108.4100,110.48,108.3900,110.3
77,2021-06-14,108.1800,108.96,106.8300,107.97
78,2021-06-11,108.8400,108.97,107.8600,107.91
79,2021-06-10,109.0600,110.25,107.2500,108.41
80,2021-06-09,109.0600,109.53,107.6500,107.78
81,2021-06-08,107.6500,108.98,106.3000,108.73
82,2021-06-07,108.3700,108.7,107.5700,107.75
83,2021-06-04,108.2400,108.67,107.2100,108.45
84,2021-06-03,107.5600,108.09,106.5600,107.59
85,2021-06-02,107.2100,108.56,106.2100,108.08
86,2021-06-01,105.3000,107.43,105.3000,106.65
87,2021-05-28,103.6200,104.12,102.9500,103.79
88,2021-05-27,104.1200,104.91,102.5700,103.01
89,2021-05-26,104.5200,104.9099,103.6550,104.12
90,2021-05-25,105.4300,105.62,103.6100,103.87
91,2021-05-24,104.9500,105.835,104.0000,105.6
92,2021-05-21,104.1000,105.2,103.6800,104.12
93,2021-05-20,103.0700,104.07,101.9700,103.56
