,index,1. open,2. high,3. low,4. close
0,2020-11-12,36.4800,36.64,34.4150,34.7
1,2020-11-11,37.8400,38.22,36.7410,37.19
2,2020-11-10,37.4000,37.67,36.2800,37.64
3,2020-11-09,35.6800,38.22,35.6500,36.47
4,2020-11-06,31.7000,32.4727,31.2900,31.58
5,2020-11-05,31.6500,32.52,31.5200,31.83
6,2020-11-04,31.9200,32.725,31.1300,31.7
7,2020-11-03,31.6750,32.34,31.4600,31.91
8,2020-11-02,28.9200,31.81,28.5423,31.3
9,2020-10-30,28.5000,29.53,28.1600,29.5
10,2020-10-29,27.0100,28.88,26.7700,28.83
11,2020-10-28,27.2700,27.94,26.7900,27.5
12,2020-10-27,28.4400,29.0,28.0500,28.19
13,2020-10-26,29.2500,29.29,28.1500,28.6
14,2020-10-23,29.8700,30.58,29.0600,29.89
15,2020-10-22,28.6100,29.65,28.0900,29.51
16,2020-10-21,28.7400,29.49,28.2900,28.82
17,2020-10-20,28.6000,29.5,28.5000,29.24
18,2020-10-19,29.3900,29.51,28.1700,28.25
19,2020-10-16,30.3400,30.52,29.3200,29.37
20,2020-10-15,29.1000,30.57,28.5900,30.54
21,2020-10-14,29.5400,30.6,29.4300,29.91
22,2020-10-13,30.1700,30.49,29.0800,29.38
23,2020-10-12,29.9700,30.51,29.6200,30.49
24,2020-10-09,31.3500,31.39,30.0700,30.12
25,2020-10-08,29.3900,31.14,29.2819,31.12
26,2020-10-07,28.9900,29.27,28.5500,29.21
27,2020-10-06,29.7700,30.3,28.7600,28.83
28,2020-10-05,28.7000,29.47,28.6200,29.24
29,2020-10-02,26.8200,28.64,26.5600,28.27
30,2020-10-01,28.7700,28.98,27.3900,27.71
31,2020-09-30,29.5900,30.21,29.1300,29.34
32,2020-09-29,29.9200,30.27,29.1200,29.43
33,2020-09-28,29.4600,30.31,29.1800,29.95
34,2020-09-25,28.1300,28.89,27.6295,28.63
35,2020-09-24,28.5100,29.145,27.5700,28.62
36,2020-09-23,30.9000,31.162,28.7000,28.73
37,2020-09-22,31.1000,31.71,30.8800,31.04
38,2020-09-21,30.8000,31.34,30.2500,31.25
39,2020-09-18,31.7400,32.6131,31.6400,32.28
40,2020-09-17,31.5500,32.4035,31.4450,32.12
41,2020-09-16,31.3100,33.06,30.7500,32.36
42,2020-09-15,31.9600,32.47,30.9500,31.09
43,2020-09-14,31.4900,32.485,31.4800,32.02
44,2020-09-11,30.3100,31.6,30.1400,31.25
45,2020-09-10,31.8800,31.97,30.2200,30.27
46,2020-09-09,32.7200,32.75,31.7400,31.77
47,2020-09-08,33.0400,33.41,32.2300,32.33
48,2020-09-04,34.5400,34.7761,33.2300,33.64
49,2020-09-03,35.1000,35.83,33.9400,34.26
50,2020-09-02,35.0300,35.4276,34.5900,35.01
51,2020-09-01,35.0100,35.864,34.6300,34.97
52,2020-08-31,37.0100,37.07,35.4600,35.46
53,2020-08-28,35.1600,37.26,35.1000,37.09
54,2020-08-27,35.4400,35.485,34.4000,34.98
55,2020-08-26,36.3200,36.6048,35.3000,35.33
56,2020-08-25,36.9500,37.0,36.0100,36.45
57,2020-08-24,35.8000,37.02,35.4800,36.81
58,2020-08-21,35.5000,35.69,34.9600,35.4
59,2020-08-20,36.5800,36.69,35.6200,35.62
60,2020-08-19,37.1300,37.83,36.6980,37.18
61,2020-08-18,37.9300,38.22,37.2300,37.24
62,2020-08-17,38.3700,39.08,38.0400,38.65
63,2020-08-14,37.0500,38.38,36.9011,38.35
64,2020-08-13,37.5000,38.0707,37.1196,37.26
65,2020-08-12,38.0300,38.45,37.3498,38.13
66,2020-08-11,38.0000,38.68,36.7300,36.95
67,2020-08-10,36.9000,37.15,36.0500,37.13
68,2020-08-07,35.5900,36.75,35.2500,36.67
69,2020-08-06,36.0700,36.88,35.4900,35.73
70,2020-08-05,38.0800,38.13,36.2700,36.43
71,2020-08-04,37.8300,38.57,36.5100,37.69
72,2020-08-03,38.4000,40.04,37.4200,38.57
73,2020-07-31,37.6000,38.55,37.2400,38.2
74,2020-07-30,39.0000,39.27,37.6300,38.08
75,2020-07-29,38.3400,39.95,38.2300,39.91
76,2020-07-28,38.2800,38.86,37.8700,38.12
77,2020-07-27,38.5200,38.91,37.7500,38.52
78,2020-07-24,38.9300,39.36,38.4500,38.7
79,2020-07-23,38.2000,39.5,38.1100,38.88
80,2020-07-22,37.7000,38.91,37.4000,38.73
81,2020-07-21,37.2900,38.76,37.1600,38.54
82,2020-07-20,37.7300,38.31,36.6800,36.75
83,2020-07-17,37.6400,39.63,37.2000,37.93
84,2020-07-16,37.0300,37.95,36.6500,37.39
85,2020-07-15,37.3600,37.73,36.4900,37.57
86,2020-07-14,34.8800,36.29,34.4000,36.2
87,2020-07-13,36.3200,36.45,35.0500,35.31
88,2020-07-10,33.2100,36.26,33.0200,36.2
89,2020-07-09,34.2600,34.26,32.5700,33.35
90,2020-07-08,34.7300,34.81,33.5400,34.15
91,2020-07-07,35.5400,35.92,34.6300,34.69
92,2020-07-06,36.8900,37.12,35.3200,36.36
93,2020-07-02,36.4300,37.42,35.9300,36.07
94,2020-07-01,37.6000,38.06,35.4600,35.68
95,2020-06-30,35.1200,37.66,34.6900,37.38
96,2020-06-29,35.5400,36.4299,35.0037,35.4
97,2020-06-26,36.3900,39.05,34.6600,35.37
98,2020-06-25,35.5800,37.03,35.1200,36.69
99,2020-06-24,37.8400,38.16,35.7300,36.23
100,2020-06-23,39.0500,39.7,38.6700,38.8
101,2020-06-22,37.6400,38.78,37.0200,38.61
102,2020-06-19,41.7600,41.8,38.1900,38.19
103,2020-06-18,36.9500,39.0,36.4100,38.47
104,2020-06-17,38.5000,38.64,37.1200,37.13
105,2020-06-16,40.1100,40.48,37.6200,38.64
106,2020-06-15,34.8000,38.2,34.6100,37.84
107,2020-06-12,37.6300,37.9,35.3300,36.62
